spatial_cell,archetype_id,archetype_name,lifecycle_state,hotspot_text,mean_poi,cis,propagation_score,enforcement_failure_index,final_priority_score,forecast_next_poi,pred_high_risk_prob
cell_12.902_77.582,1,Night Spillovers,Stable,Spatial Cell cell_12.902_77.582. Archetype: Night Spillovers. Lifecycle State: Stable. Average Parking Impact Score 0.61. Congestion Impact Score 21.56. Propagation Score 10.04. Enforcement Failure Index 31.67. Priority Score 21.82. Recommended Action: Night patrol + camera monitoring.,0.6118015411059929,21.560580859774824,10.043500511770727,31.66517400204708,21.824462640736954,0.6118015411059929,0.0
cell_12.902_77.586,0,Junction Choke Points,Stable,Spatial Cell cell_12.902_77.586. Archetype: Junction Choke Points. Lifecycle State: Stable. Average Parking Impact Score 1.36. Congestion Impact Score 62.41. Propagation Score 69.81. Enforcement Failure Index 54.82. Priority Score 73.73. Recommended Action: Immediate patrol + tow readiness.,1.3555507335707115,62.4085209825998,69.80552712384852,54.82382292732856,73.72630501535312,1.2463075956442253,0.008325081092412721
cell_12.902_77.594,4,Freight Obstruction Corridors,Declining,Spatial Cell cell_12.902_77.594. Archetype: Freight Obstruction Corridors. Lifecycle State: Declining. Average Parking Impact Score 1.00. Congestion Impact Score 49.90. Propagation Score 47.75. Enforcement Failure Index 43.53. Priority Score 55.41. Recommended Action: Heavy-vehicle enforcement + loading control.,1.0031656893444318,49.90276356192426,47.748208802456496,43.53313715455476,55.41105424769704,1.320970991563513,0.010016879943812307
cell_12.902_77.601,0,Junction Choke Points,Stable,Spatial Cell cell_12.902_77.601. Archetype: Junction Choke Points. Lifecycle State: Stable. Average Parking Impact Score 1.83. Congestion Impact Score 77.62. Propagation Score 89.04. Enforcement Failure Index 65.18. Priority Score 80.86. Recommended Action: Immediate patrol + tow readiness.,1.826908462025112,77.62090583418629,89.0353121801433,65.1830859774821,80.86120777891504,1.826908462025112,0.0
cell_12.902_77.628,1,Night Spillovers,Stable,Spatial Cell cell_12.902_77.628. Archetype: Night Spillovers. Lifecycle State: Stable. Average Parking Impact Score 0.32. Congestion Impact Score 14.15. Propagation Score 0.44. Enforcement Failure Index 27.33. Priority Score 15.95. Recommended Action: Night patrol + camera monitoring.,0.3184537311185346,14.149501023541456,0.43500511770726713,27.325870010235416,15.951893551688844,0.3184537311185346,0.0
cell_12.902_77.632,1,Night Spillovers,Stable,Spatial Cell cell_12.902_77.632. Archetype: Night Spillovers. Lifecycle State: Stable. Average Parking Impact Score 0.81. Congestion Impact Score 35.60. Propagation Score 30.21. Enforcement Failure Index 41.04. Priority Score 40.16. Recommended Action: Night patrol + camera monitoring.,0.8114295307923642,35.60484902763562,30.207267144319346,41.04158137154555,40.16479017400204,0.8432606635385582,0.005461377733319819
cell_12.902_77.639,0,Junction Choke Points,Stable,Spatial Cell cell_12.902_77.639. Archetype: Junction Choke Points. Lifecycle State: Stable. Average Parking Impact Score 1.29. Congestion Impact Score 67.55. Propagation Score 66.70. Enforcement Failure Index 64.24. Priority Score 70.98. Recommended Action: Immediate patrol + tow readiness.,1.2901243176421204,67.5457395087001,66.69651995905835,64.24321903787103,70.97502558853634,1.2901243176421204,0.0
cell_12.902_77.641,5,Mixed Risk Zone,Stable,Spatial Cell cell_12.902_77.641. Archetype: Mixed Risk Zone. Lifecycle State: Stable. Average Parking Impact Score 0.75. Congestion Impact Score 22.95. Propagation Score 23.39. Enforcement Failure Index 29.44. Priority Score 25.24. Recommended Action: Routine monitoring.,0.7537718023763802,22.954836233367455,23.387922210849542,29.44344933469806,25.244754350051174,0.7537718023763802,0.0
cell_12.902_77.651,1,Night Spillovers,Stable,Spatial Cell cell_12.902_77.651. Archetype: Night Spillovers. Lifecycle State: Stable. Average Parking Impact Score 0.56. Congestion Impact Score 11.82. Propagation Score 6.19. Enforcement Failure Index 21.94. Priority Score 17.35. Recommended Action: Night patrol + camera monitoring.,0.5596157879354227,11.815506653019446,6.1924257932446265,21.94472876151484,17.34634083930399,0.5596157879354227,0.0
cell_12.902_77.66,1,Night Spillovers,Stable,Spatial Cell cell_12.902_77.66. Archetype: Night Spillovers. Lifecycle State: Stable. Average Parking Impact Score 0.63. Congestion Impact Score 17.97. Propagation Score 9.89. Enforcement Failure Index 28.29. Priority Score 26.38. Recommended Action: Night patrol + camera monitoring.,0.6253560992282807,17.968590071647906,9.889969293756398,28.290941658137154,26.378326509723642,0.6331335657066575,0.005157984181836817
