spatial_cell,hour,avg_poi,avg_violations
cell_12.84_77.653,22.0,0.44628710262841953,1
cell_12.84_77.654,6.0,0.7182792370587834,8
cell_12.84_77.663,0.0,0.502951445281921,2
cell_12.84_77.663,1.0,0.44628710262841953,1
cell_12.84_77.663,5.0,0.9886113934537812,2
cell_12.84_77.663,6.0,0.7537718023763802,1
cell_12.84_77.663,23.0,0.6086657786237649,3
cell_12.84_77.664,1.0,0.3184537311185346,1
cell_12.84_77.676,6.0,0.7537718023763802,1
cell_12.84_77.676,10.0,0.5596157879354227,1
cell_12.84_77.677,0.0,1.0936783575485929,5
cell_12.84_77.677,1.0,0.9886113934537812,5
cell_12.84_77.677,2.0,0.8711915979150807,4
cell_12.84_77.677,3.0,0.6309507767231691,5
cell_12.84_77.677,4.0,0.749957087404521,7
cell_12.84_77.677,5.0,0.7039125782619591,10
cell_12.84_77.677,6.0,0.8874466277943491,18
cell_12.84_77.677,7.0,0.7023615864949063,13
cell_12.84_77.677,8.0,0.6492262561389416,13
cell_12.84_77.677,9.0,1.2701569758023765,7
cell_12.84_77.677,10.0,1.0884083113203926,8
cell_12.84_77.677,11.0,1.302539066605703,5
cell_12.84_77.677,19.0,0.9886113934537812,1
cell_12.84_77.677,20.0,1.1971689080914218,2
cell_12.84_77.677,21.0,0.6406591848768436,4
cell_12.84_77.677,22.0,0.7277765801094869,8
cell_12.84_77.677,23.0,0.5596157879354227,12
cell_12.84_77.678,5.0,0.5596157879354227,4
cell_12.851_77.588,2.0,0.5439471071434459,3
cell_12.851_77.588,3.0,0.5596157879354227,1
cell_12.851_77.588,5.0,0.6243344594157418,3
cell_12.851_77.588,6.0,0.7537718023763802,1
cell_12.851_77.588,7.0,0.774113590694602,2
cell_12.851_77.588,22.0,0.7537718023763802,1
cell_12.851_77.588,23.0,0.5596157879354227,1
cell_12.851_77.657,6.0,0.7945225023626862,49
cell_12.851_77.657,7.0,0.7787649314331605,34
cell_12.851_77.657,8.0,0.7537718023763802,5
cell_12.851_77.658,6.0,0.7761340757429732,19
cell_12.851_77.658,7.0,0.6118015411059929,2
cell_12.852_77.588,1.0,0.5596157879354227,1
cell_12.853_77.588,2.0,0.5596157879354227,1
cell_12.853_77.588,6.0,0.7537718023763802,1
cell_12.853_77.589,6.0,0.7537718023763802,1
cell_12.853_77.589,20.0,0.9662133993590132,2
cell_12.854_77.588,20.0,0.7537718023763802,1
cell_12.854_77.589,1.0,0.7174492480411003,2
cell_12.854_77.589,3.0,0.8711915979150807,2
cell_12.854_77.589,8.0,0.5596157879354227,2
cell_12.854_77.662,4.0,0.5596157879354227,16
cell_12.854_77.662,5.0,0.5911055505678673,12
cell_12.854_77.662,10.0,0.44628710262841953,2
cell_12.855_77.589,6.0,0.5596157879354227,2
cell_12.855_77.589,7.0,0.6566937951559014,2
cell_12.855_77.589,8.0,0.5596157879354227,1
cell_12.855_77.589,22.0,0.7174492480411003,2
cell_12.855_77.589,23.0,0.7537718023763802,2
cell_12.855_77.664,3.0,0.5596157879354227,1
cell_12.855_77.664,6.0,0.5596157879354227,1
cell_12.855_77.664,20.0,1.0241888221526334,6
cell_12.855_77.664,21.0,1.2687934538084567,4
cell_12.855_77.665,1.0,0.6086657786237649,3
cell_12.855_77.665,2.0,0.8711915979150807,2
cell_12.855_77.665,3.0,1.0729586082894003,9
cell_12.855_77.665,4.0,0.5596157879354227,1
cell_12.855_77.665,5.0,1.1786549963416462,1
cell_12.855_77.665,6.0,1.2538542760124705,6
cell_12.855_77.665,20.0,0.8927314406764351,9
cell_12.855_77.665,21.0,1.2922936352707435,5
cell_12.855_77.665,22.0,0.7537718023763802,2
cell_12.855_77.666,7.0,0.3184537311185346,1
cell_12.855_77.666,21.0,0.7537718023763802,1
cell_12.855_77.666,22.0,0.9886113934537812,2
cell_12.855_77.666,23.0,0.3184537311185346,1
cell_12.855_77.675,0.0,0.5596157879354227,1
cell_12.856_77.569,6.0,0.44628710262841953,1
cell_12.856_77.589,1.0,0.7537718023763802,1
cell_12.856_77.589,4.0,0.7537718023763803,3
cell_12.856_77.589,5.0,0.7537718023763802,1
cell_12.856_77.589,21.0,0.5596157879354227,1
cell_12.856_77.663,1.0,0.9162907318741551,1
cell_12.856_77.663,4.0,0.5596157879354227,1
cell_12.856_77.664,1.0,1.1979979662134124,6
cell_12.856_77.664,3.0,1.0370272650198908,3
cell_12.856_77.664,5.0,0.661398482245365,1
cell_12.856_77.664,6.0,0.5596157879354227,1
cell_12.856_77.664,8.0,1.1786549963416462,3
cell_12.856_77.664,9.0,1.7514938282941497,5
cell_12.856_77.664,20.0,0.7537718023763802,2
cell_12.856_77.664,21.0,1.2597898493711885,5
cell_12.856_77.664,22.0,0.7537718023763802,1
cell_12.856_77.665,0.0,0.7537718023763802,1
cell_12.856_77.665,1.0,0.9886113934537812,1
cell_12.856_77.665,3.0,1.3862943611198906,1
cell_12.856_77.665,4.0,0.7537718023763802,1
cell_12.857_77.53,5.0,0.44628710262841953,1
cell_12.857_77.589,0.0,0.9103315297613142,3
cell_12.857_77.589,2.0,0.5596157879354227,3
cell_12.857_77.589,4.0,0.7857472069231961,6
cell_12.857_77.589,6.0,0.9886113934537812,1
cell_12.857_77.589,19.0,0.5596157879354227,1
cell_12.857_77.589,20.0,0.7537718023763802,1
cell_12.857_77.589,22.0,0.9591728555342578,4
cell_12.857_77.589,23.0,0.5596157879354227,1
cell_12.857_77.59,3.0,0.7537718023763802,1
cell_12.857_77.663,1.0,1.3862943611198906,1
cell_12.857_77.664,1.0,0.9162907318741551,1
cell_12.858_77.589,1.0,0.7943204229780906,4
cell_12.858_77.589,3.0,0.6566937951559014,2
cell_12.858_77.589,4.0,0.5596157879354227,2
cell_12.858_77.589,5.0,0.6566937951559014,2
cell_12.858_77.589,6.0,1.1786549963416462,5
cell_12.858_77.589,7.0,0.5596157879354227,1
cell_12.858_77.589,8.0,0.5596157879354227,1
cell_12.858_77.589,19.0,0.5596157879354227,1
cell_12.858_77.589,21.0,0.6243344594157418,3
cell_12.858_77.589,22.0,0.7639426965354911,4
