spatial_cell,organic_cluster_id,archetype_id,archetype_name,lifecycle_state
cell_13.148_77.62,5,0,Junction Choke Points,Stable
cell_13.149_77.619,5,1,Night Spillovers,Stable
cell_13.14_77.618,6,4,Freight Obstruction Corridors,Stable
cell_13.151_77.618,5,4,Freight Obstruction Corridors,Stable
cell_13.151_77.619,5,1,Night Spillovers,Stable
cell_13.151_77.62,5,5,Mixed Risk Zone,Stable
cell_13.152_77.618,5,1,Night Spillovers,Stable
cell_13.152_77.62,5,4,Freight Obstruction Corridors,Stable
cell_13.15_77.618,5,4,Freight Obstruction Corridors,Stable
cell_13.15_77.619,5,4,Freight Obstruction Corridors,Stable
